"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"b",-20,-0.0249544328242091,6.47165355091426,7.36137602979935,7.82023250168472,43.0006227237176,TRUE,NA
"b",-19.99,-0.0249668713761347,6.47008886846414,7.35977740960786,7.81830957335741,42.9806233446663,TRUE,NA
"b",-19.98,-0.0249793223127306,6.46852379362817,7.35817836911856,7.81638616915453,42.9606239665432,TRUE,NA
"b",-19.97,-0.0249917856524611,6.46695832610398,7.35657890799223,7.81446228872126,42.9406245893501,TRUE,NA
"b",-19.96,-0.0250042614138355,6.46539246558879,7.35497902588918,7.81253793170302,42.9206252130889,TRUE,NA
"b",-19.95,-0.0250167496154079,6.46382621177944,7.35337872246926,7.81061309774543,42.9006258377613,TRUE,NA
"b",-19.94,-0.0250292502757617,6.46225956437235,7.35177799739184,7.80868778649269,42.8806264633694,TRUE,NA
"b",-19.93,-0.0250417634135138,6.46069252306358,7.35017685031585,7.80676199758889,42.8606270899149,TRUE,NA
"b",-19.92,-0.0250542890473292,6.45912508754875,7.34857528089974,7.80483573067802,42.8406277173997,TRUE,NA
"b",-19.91,-0.0250668271958997,6.4575572575231,7.34697328880148,7.80290898540227,42.8206283458257,TRUE,NA
"b",-19.9,-0.0250793778779615,6.45598903268147,7.34537087367859,7.80098176140539,42.8006289751947,TRUE,NA
"b",-19.89,-0.0250919411122835,6.45442041271828,7.34376803518812,7.79905405832938,42.7806296055088,TRUE,NA
"b",-19.88,-0.0251045169176747,6.45285139732759,7.34216477298663,7.7971258758161,42.7606302367697,TRUE,NA
"b",-19.87,-0.0251171053129758,6.451281986203,7.34056108673024,7.79519721350696,42.7406308689793,TRUE,NA
"b",-19.86,-0.0251297063170726,6.44971217903776,7.33895697607456,7.79326807104328,42.7206315021396,TRUE,NA
"b",-19.85,-0.0251423199488871,6.44814197552468,7.33735244067476,7.79133844806458,42.7006321362524,TRUE,NA
"b",-19.84,-0.0251549462273777,6.44657137535617,7.33574748018551,7.78940834421194,42.6806327713197,TRUE,NA
"b",-19.83,-0.0251675851715471,6.44500037822425,7.33414209426103,7.78747775912465,42.6606334073434,TRUE,NA
"b",-19.82,-0.0251802368004196,6.44342898382052,7.33253628255505,7.78554669244189,42.6406340443253,TRUE,NA
"b",-19.81,-0.0251929011330652,6.44185719183617,7.33093004472082,7.78361514380239,42.6206346822675,TRUE,NA
"b",-19.8,-0.0252055781886109,6.44028500196199,7.32932338041112,7.78168311284441,42.6006353211718,TRUE,NA
"b",-19.79,-0.0252182679861912,6.43871241388837,7.32771628927824,7.7797505992058,42.5806359610402,TRUE,NA
"b",-19.78,-0.0252309705449968,6.43713942730526,7.32610877097401,7.7778176025239,42.5606366018746,TRUE,NA
"b",-19.77,-0.0252436858842599,6.43556604190223,7.32450082514976,7.77588412243597,42.540637243677,TRUE,NA
"b",-19.76,-0.0252564140232399,6.43399225736842,7.32289245145635,7.77395015857746,42.5206378864493,TRUE,NA
"b",-19.75,-0.0252691549812399,6.43241807339256,7.32128364954415,7.77201571058538,42.5006385301935,TRUE,NA
