"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"delta",0,-1.34844984540126,-0.527278248269901,0.166258553726909,0.886412730458993,2.31831698556286,TRUE,NA
"delta",0.01,-1.34940005152409,-0.531207521640862,0.161882539813141,0.882391075686988,2.33088049905317,TRUE,NA
"delta",0.02,-1.35036833342923,-0.535139631394768,0.157505351094643,0.878382927635507,2.3434946359284,TRUE,NA
"delta",0.03,-1.35135459149881,-0.539074499589097,0.153127068167472,0.874388383899333,2.3561592319649,TRUE,NA
"delta",0.04,-1.35235872486765,-0.543012048481997,0.148747771495445,0.870407541680078,2.36887412072562,TRUE,NA
"delta",0.05,-1.35338063144824,-0.546952200527282,0.144367541409009,0.866440497766237,2.38163913357921,TRUE,NA
"delta",0.06,-1.35442020795573,-0.550894878369452,0.139986458103854,0.862487348513195,2.39445409971883,TRUE,NA
"delta",0.07,-1.35547734993277,-0.554840004838764,0.135604601639946,0.858548189822661,2.40731884618076,TRUE,NA
"delta",0.08,-1.3565519517746,-0.558787502946758,0.131222051939855,0.854623117121538,2.42023319786346,TRUE,NA
"delta",0.09,-1.35764390675404,-0.56273729588188,0.126838888787492,0.850712225340247,2.43319697754637,TRUE,NA
"delta",0.1,-1.35875310704673,-0.566689307005453,0.122455191826235,0.846815608890439,2.44621000590912,TRUE,NA
"delta",0.11,-1.35987944375622,-0.570643459847889,0.118071040557324,0.842933361642233,2.45927210155071,TRUE,NA
"delta",0.12,-1.36102280693932,-0.574599678105226,0.113686514337653,0.839065576900798,2.47238308100899,TRUE,NA
"delta",0.13,-1.36218308563136,-0.578557885635867,0.109301692377902,0.835212347382464,2.48554275878015,TRUE,NA
"delta",0.14,-1.36336016787143,-0.582518006457622,0.104916653740098,0.831373765190188,2.49875094733842,TRUE,NA
"delta",0.15,-1.36455394072789,-0.586479964745077,0.10053147733522,0.827549921788559,2.51200745715602,TRUE,NA
"delta",0.16,-1.36576429032367,-0.590443684827253,0.0961462419205718,0.823740907978217,2.52531209672332,TRUE,NA
"delta",0.17,-1.36699110186166,-0.5944090911854,0.0917610260971506,0.819946813869703,2.53866467256897,TRUE,NA
"delta",0.18,-1.36823425965017,-0.598376108451272,0.0873759083066077,0.816167728856828,2.55206498928047,TRUE,NA
"delta",0.19,-1.3694936471284,-0.602344661405665,0.0829909668281927,0.812403741589521,2.56551284952505,TRUE,NA
"delta",0.2,-1.3707691468918,-0.606314674977124,0.0786062797753714,0.808654939946087,2.57900805407048,TRUE,NA
"delta",0.21,-1.37206064071752,-0.610286074240959,0.0742219250927333,0.80492141100502,2.59255040180619,TRUE,NA
"delta",0.22,-1.37336800958998,-0.614258784418856,0.0698379805519183,0.801203241016376,2.60613968976515,TRUE,NA
"delta",0.23,-1.37469113372613,-0.618232730878318,0.0654545237479475,0.797500515372493,2.61977571314525,TRUE,NA
"delta",0.24,-1.37602989260095,-0.622207839132681,0.0610716320958997,0.793813318578453,2.63345826533141,TRUE,NA
"delta",0.25,-1.37738416497286,-0.626184034841436,0.0566893828254756,0.790141734221831,2.647187137918,TRUE,NA
"delta",0.26,-1.378753828909,-0.630161243810643,0.0523078529784025,0.786485844942304,2.66096212073125,TRUE,NA
"delta",0.27,-1.38013876181081,-0.634139391994062,0.047927119401948,0.782845732400585,2.67478300185269,TRUE,NA
"delta",0.28,-1.38153884043909,-0.638118405493949,0.0435472587463014,0.779221477247101,2.68864956764181,TRUE,NA
"delta",0.29,-1.38295394093946,-0.64209821056271,0.0391683474576698,0.775613159090081,2.70256160276001,TRUE,NA
"delta",0.3,-1.38438393886749,-0.646078733604462,0.034790461775092,0.772020856463554,2.71651889019429,TRUE,NA
"delta",0.31,-1.38582870921418,-0.650059901177402,0.0304136777242681,0.768444646794957,2.73052121128226,TRUE,NA
"delta",0.32,-1.38728812643081,-0.654041639995682,0.0260380711121729,0.764884606372022,2.74456834573592,TRUE,NA
"delta",0.33,-1.38876206445423,-0.658023876932218,0.021663717521068,0.761340810309757,2.75866007166719,TRUE,NA
"delta",0.34,-1.39025039673164,-0.662006539021143,0.0172906923049283,0.757813332517081,2.77279616561251,TRUE,NA
"delta",0.35,-1.39175299624657,-0.665989553462306,0.0129190705803564,0.754302245663467,2.78697640256131,TRUE,NA
"delta",0.36,-1.39326973554208,-0.669972847622302,0.00854892722265865,0.75080762114406,2.80120055597751,TRUE,NA
"delta",0.37,-1.39480048674774,-0.673956349041,0.00418033685946206,0.747329529047066,2.81546839783176,TRUE,NA
"delta",0.38,-1.39634512160242,-0.677939985432707,-0.000186626136317924,0.743868038117814,2.82977969862289,TRUE,NA
"delta",0.39,-1.3979035114813,-0.681923684693575,-0.00455188765411241,0.740423215726179,2.84413422741176,TRUE,NA
"delta",0.4,-1.39947552741727,-0.685907374901507,-0.00891537384869689,0.736995127829647,2.85853175183984,TRUE,NA
"delta",0.41,-1.40106104013024,-0.689890984327423,-0.0132770111537114,0.733583838941927,2.87297203817083,TRUE,NA
"delta",0.42,-1.40265992004656,-0.693874441433226,-0.0176367262778059,0.730189412095161,2.88745485130501,TRUE,NA
"delta",0.43,-1.40427203732702,-0.697857674881994,-0.0219944462286843,0.726811908806507,2.90197995481858,TRUE,NA
"delta",0.44,-1.40589726189256,-0.701840613545216,-0.0263500983108509,0.723451389045941,2.91654711099701,TRUE,NA
"delta",0.45,-1.40753546343516,-0.705823186490567,-0.0307036100987866,0.720107911193872,2.93115608082762,TRUE,NA
"delta",0.46,-1.40918651146292,-0.709805323016103,-0.0350549095318163,0.716781532014101,2.94580662408902,TRUE,NA
"delta",0.47,-1.41085027533825,-0.713786952676667,-0.0394039248644006,0.713472306633124,2.96049849942526,TRUE,NA
"delta",0.48,-1.41252662418691,-0.717768005128998,-0.043750584476819,0.710180288462245,2.97523146403686,TRUE,NA
"delta",0.49,-1.4142154270716,-0.721748410354387,-0.048094816799206,0.706905529188013,2.99000527416731,TRUE,NA
"delta",0.5,NA,NA,NA,NA,NA,FALSE,"Degenerate case |a_{i,1}| ~= 0 detected; the cubic fallback is not implemented."
"delta",0.51,-1.41762987074514,-0.729707000265486,-0.0567757208444186,0.700407985212462,3.01967445042889,TRUE,NA
"delta",0.52,-1.41935524985115,-0.733685046926491,-0.0611122510618037,0.697185295449466,3.03456932528003,TRUE,NA
"delta",0.53,-1.42109255825766,-0.737662168447702,-0.0654460734904062,0.69398005335147,3.04950405913531,TRUE,NA
"delta",0.54,-1.42284166499792,-0.741638296393852,-0.0697771189515818,0.69079230165062,3.06447840365406,TRUE,NA
"delta",0.55,-1.42460243902002,-0.745613362470831,-0.0741053186824883,0.687622081110998,3.07949210926178,TRUE,NA
"delta",0.56,-1.42637474916434,-0.749587298475346,-0.0784306041378828,0.684469430444256,3.09454492505362,TRUE,NA
"delta",0.57,-1.42815846435728,-0.753560036528713,-0.0827529071673154,0.681334386399604,3.10963659931533,TRUE,NA
"delta",0.58,-1.42995345362975,-0.757531509079374,-0.0870721601015754,0.678216983726082,3.12476687954765,TRUE,NA
"delta",0.59,-1.43175958611383,-0.761501648877255,-0.0913882956533472,0.675117255129417,3.13993551242884,TRUE,NA
"delta",0.6,-1.43357673106742,-0.765470388985396,-0.0957012469691332,0.672035231242868,3.15514224385796,TRUE,NA
"delta",0.61,-1.43540475791386,-0.769437662811201,-0.100010947651279,0.668970940611777,3.17038681904174,TRUE,NA
"delta",0.62,-1.43724353624301,-0.773403404087945,-0.104317331736829,0.66592440965236,3.18566898247231,TRUE,NA
"delta",0.63,-1.43909293584922,-0.777367546904487,-0.108620333732548,0.662895662636154,3.20098847801114,TRUE,NA
"delta",0.64,-1.44095282674302,-0.781330025701221,-0.112919888609425,0.659884721657723,3.2163450488987,TRUE,NA
"delta",0.65,-1.44282307917681,-0.785290775284606,-0.117215931815849,0.656891606613533,3.23173843780525,TRUE,NA
