"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"eps",0,-1.54589726403376,-0.953448953681087,-0.2729604338761,0.749943928968772,3.38979835094726,TRUE,NA
"eps",0.001,-1.54584035976437,-0.953395847257931,-0.272957696029599,0.749586996478831,3.39062241787644,TRUE,NA
"eps",0.002,-1.54578344107037,-0.95334272215651,-0.272954923117571,0.749229995527161,3.39144644668734,TRUE,NA
"eps",0.003,-1.54572650788036,-0.953289578289749,-0.272952115049755,0.748872926090713,3.39227043716401,TRUE,NA
"eps",0.004,-1.54566956012259,-0.953236415570183,-0.272949271735445,0.74851578814743,3.39309438908957,TRUE,NA
"eps",0.005,-1.54561259772519,-0.953183233910218,-0.272946393083797,0.748158581675443,3.39391830224681,TRUE,NA
"eps",0.006,-1.54555562061617,-0.953130033222118,-0.272943479003813,0.747801306653072,3.39474217641824,TRUE,NA
"eps",0.007,-1.54549862872344,-0.953076813418015,-0.272940529404345,0.747443963058815,3.39556601138603,TRUE,NA
"eps",0.008,-1.54544162197479,-0.953023574409903,-0.272937544194107,0.747086550871368,3.39638980693207,TRUE,NA
"eps",0.009,-1.5453846002979,-0.952970316109638,-0.272934523281655,0.746729070069609,3.39721356283789,TRUE,NA
"eps",0.01,-1.54532756362033,-0.952917038428944,-0.272931466575401,0.74637152063261,3.39803727888476,TRUE,NA
"eps",0.011,-1.54527051186956,-0.952863741279406,-0.27292837398361,0.746013902539634,3.3988609548536,TRUE,NA
"eps",0.012,-1.5452134449729,-0.95281042457247,-0.272925245414398,0.745656215770136,3.39968459052503,TRUE,NA
"eps",0.013,-1.54515636285761,-0.952757088219446,-0.272922080775721,0.745298460303762,3.40050818567935,TRUE,NA
"eps",0.014,-1.54509926545079,-0.95270373213151,-0.272918879975408,0.744940636120359,3.40133174009657,TRUE,NA
"eps",0.015,-1.54504215267944,-0.952650356219692,-0.272915642921111,0.744582743199964,3.40215525355633,TRUE,NA
"eps",0.016,-1.54498502447047,-0.952596960394893,-0.272912369520353,0.74422478152281,3.40297872583802,TRUE,NA
"eps",0.017,-1.54492788075064,-0.952543544567872,-0.272909059680506,0.743866751069335,3.40380215672066,TRUE,NA
"eps",0.018,-1.54487072144662,-0.952490108649248,-0.272905713308775,0.743508651820171,3.404625545983,TRUE,NA
"eps",0.019,-1.54481354648496,-0.952436652549505,-0.27290233031223,0.74315048375615,3.40544889340343,TRUE,NA
"eps",0.02,-1.54475635579209,-0.952383176178985,-0.272898910597788,0.742792246858308,3.40627219876005,TRUE,NA
"eps",0.021,-1.54469914929433,-0.952329679447893,-0.272895454072209,0.74243394110788,3.40709546183063,TRUE,NA
"eps",0.022,-1.5446419269179,-0.952276162266293,-0.272891960642108,0.742075566486309,3.40791868239263,TRUE,NA
"eps",0.023,-1.54458468858888,-0.952222624544113,-0.272888430213944,0.741717122975239,3.4087418602232,TRUE,NA
"eps",0.024,-1.54452743423324,-0.952169066191136,-0.272884862694027,0.741358610556524,3.40956499509913,TRUE,NA
"eps",0.025,-1.54447016377686,-0.95211548711701,-0.272881257988509,0.741000029212222,3.41038808679693,TRUE,NA
"eps",0.026,-1.54441287714548,-0.95206188723124,-0.272877616003405,0.740641378924599,3.41121113509279,TRUE,NA
"eps",0.027,-1.54435557426473,-0.952008266443193,-0.272873936644562,0.740282659676133,3.41203413976255,TRUE,NA
"eps",0.028,-1.54429825506013,-0.951954624662092,-0.272870219817679,0.739923871449512,3.41285710058175,TRUE,NA
"eps",0.029,-1.54424091945707,-0.951900961797023,-0.272866465428307,0.739565014227635,3.41368001732562,TRUE,NA
"eps",0.03,-1.54418356738084,-0.951847277756927,-0.272862673381834,0.739206087993612,3.41450288976903,TRUE,NA
"eps",0.031,-1.54412619875662,-0.951793572450609,-0.272858843583507,0.738847092730774,3.41532571768657,TRUE,NA
"eps",0.032,-1.54406881350944,-0.951739845786725,-0.272854975938408,0.738488028422659,3.41614850085246,TRUE,NA
"eps",0.033,-1.54401141156426,-0.951686097673799,-0.272851070351475,0.738128895053029,3.41697123904066,TRUE,NA
"eps",0.034,-1.54395399284588,-0.951632328020204,-0.27284712672748,0.737769692605859,3.41779393202474,TRUE,NA
"eps",0.035,-1.54389655727901,-0.951578536734175,-0.272843144971051,0.737410421065344,3.41861657957798,TRUE,NA
"eps",0.036,-1.54383910478823,-0.951524723723806,-0.27283912498666,0.737051080415901,3.41943918147334,TRUE,NA
"eps",0.037,-1.54378163529802,-0.951470888897045,-0.272835066678621,0.736691670642169,3.42026173748343,TRUE,NA
"eps",0.038,-1.54372414873272,-0.951417032161702,-0.272830969951095,0.736332191729005,3.42108424738057,TRUE,NA
"eps",0.039,-1.54366664501657,-0.951363153425437,-0.272826834708086,0.735972643661495,3.42190671093672,TRUE,NA
"eps",0.04,-1.54360912407369,-0.951309252595774,-0.272822660853441,0.735613026424948,3.42272912792353,TRUE,NA
"eps",0.041,-1.54355158582806,-0.951255329580089,-0.272818448290858,0.735253340004901,3.42355149811232,TRUE,NA
"eps",0.042,-1.54349403020357,-0.951201384285612,-0.272814196923866,0.734893584387115,3.42437382127406,TRUE,NA
"eps",0.043,-1.54343645712399,-0.951147416619438,-0.272809906655857,0.734533759557585,3.42519609717945,TRUE,NA
"eps",0.044,-1.54337886651295,-0.951093426488511,-0.272805577390057,0.734173865502533,3.4260183255988,TRUE,NA
"eps",0.045,-1.54332125829398,-0.951039413799628,-0.272801209029519,0.733813902208412,3.42684050630211,TRUE,NA
"eps",0.046,-1.54326363239049,-0.950985378459452,-0.272796801477174,0.733453869661911,3.42766263905908,TRUE,NA
"eps",0.047,-1.54320598872576,-0.950931320374489,-0.272792354635756,0.733093767849949,3.42848472363904,TRUE,NA
"eps",0.048,-1.54314832722295,-0.950877239451108,-0.272787868407878,0.732733596759684,3.429306759811,TRUE,NA
"eps",0.049,-1.54309064780513,-0.95082313559553,-0.272783342695969,0.732373356378507,3.43012874734366,TRUE,NA
"eps",0.05,-1.54303295039522,-0.950769008713831,-0.272778777402316,0.73201304669405,3.43095068600537,TRUE,NA
"eps",0.051,-1.54297523491602,-0.95071485871194,-0.272774172429033,0.731652667694183,3.43177257556414,TRUE,NA
"eps",0.052,-1.54291750129023,-0.950660685495644,-0.272769527678095,0.731292219367016,3.43259441578768,TRUE,NA
"eps",0.053,-1.54285974944041,-0.950606488970575,-0.272764843051302,0.7309317017009,3.43341620644332,TRUE,NA
"eps",0.054,-1.54280197928901,-0.950552269042232,-0.272760118450297,0.730571114684433,3.4342379472981,TRUE,NA
"eps",0.055,-1.54274419075837,-0.950498025615954,-0.272755353776578,0.730210458306454,3.43505963811871,TRUE,NA
"eps",0.056,-1.54268638377069,-0.950443758596941,-0.272750548931464,0.729849732556047,3.4358812786715,TRUE,NA
"eps",0.057,-1.54262855824806,-0.950389467890246,-0.272745703816127,0.729488937422546,3.43670286872249,TRUE,NA
"eps",0.058,-1.54257071411244,-0.950335153400769,-0.272740818331576,0.72912807289553,3.43752440803736,TRUE,NA
"eps",0.059,-1.54251285128568,-0.950280815033268,-0.272735892378656,0.728767138964831,3.43834589638148,TRUE,NA
"eps",0.06,-1.5424549696895,-0.950226452692353,-0.272730925858063,0.728406135620532,3.43916733351985,TRUE,NA
"eps",0.061,-1.54239706924551,-0.95017206628248,-0.272725918670317,0.728045062852965,3.43998871921714,TRUE,NA
"eps",0.062,-1.54233914987518,-0.950117655707965,-0.272720870715792,0.727683920652721,3.44081005323771,TRUE,NA
"eps",0.063,-1.54228121149988,-0.95006322087297,-0.272715781894685,0.72732270901064,3.44163133534554,TRUE,NA
"eps",0.064,-1.54222325404084,-0.950008761681512,-0.272710652107048,0.726961427917823,3.44245256530432,TRUE,NA
"eps",0.065,-1.54216527741918,-0.949954278037455,-0.27270548125276,0.726600077365629,3.44327374287736,TRUE,NA
"eps",0.066,-1.54210728155588,-0.949899769844517,-0.272700269231546,0.726238657345672,3.44409486782766,TRUE,NA
"eps",0.067,-1.54204926637182,-0.949845237006265,-0.272695015942959,0.725877167849835,3.44491593991786,TRUE,NA
