"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"l",1,-0.0974062536854571,2.25066059015511,2.95757390997728,3.09376283548927,6.50948797825704,TRUE,NA
"l",1.01,-0.0974062536854996,2.25062395014394,2.95695039361684,3.09909688578938,6.50948797825704,TRUE,NA
"l",1.02,-0.0974062536855413,2.25058849962222,2.95635150571128,3.10442295495701,6.50948797825705,TRUE,NA
"l",1.03,-0.097406253685582,2.25055419803136,2.95577606532356,3.10974107173988,6.50948797825706,TRUE,NA
"l",1.04,-0.0974062536856209,2.25052100626679,2.95522296335077,3.11505126491403,6.50948797825707,TRUE,NA
"l",1.05,-0.0974062536856587,2.25048888662324,2.95469115694321,3.12035356327063,6.50948797825707,TRUE,NA
"l",1.06,-0.0974062536856952,2.25045780274224,2.9541796644618,3.12564799560389,6.50948797825708,TRUE,NA
"l",1.07,-0.0974062536857307,2.25042771956161,2.95368756091165,3.13093459069998,6.50948797825709,TRUE,NA
"l",1.08,-0.0974062536857649,2.25039860326688,2.9532139737982,3.13621337732689,6.5094879782571,TRUE,NA
"l",1.09,-0.0974062536857982,2.2503704212447,2.95275807935903,3.14148438422513,6.5094879782571,TRUE,NA
"l",1.1,-0.0974062536858301,2.25034314203792,2.95231909913079,3.14674764009923,6.50948797825711,TRUE,NA
"l",1.11,-0.0974062536858612,2.25031673530256,2.95189629681544,3.15200317360989,6.50948797825711,TRUE,NA
"l",1.12,-0.0974062536858918,2.25029117176637,2.95148897541471,3.15725101336682,6.50948797825712,TRUE,NA
"l",1.13,-0.097406253685921,2.25026642318901,2.95109647460523,3.16249118792215,6.50948797825713,TRUE,NA
"l",1.14,-0.0974062536859493,2.25024246232382,2.95071816833018,3.16772372576435,6.50948797825713,TRUE,NA
"l",1.15,-0.0974062536859765,2.25021926288103,2.9503534625861,3.17294865531269,6.50948797825714,TRUE,NA
"l",1.16,-0.0974062536860026,2.25019679949242,2.95000179338588,3.17816600491211,6.50948797825714,TRUE,NA
"l",1.17,-0.0974062536860281,2.25017504767734,2.94966262488114,3.18337580282851,6.50948797825715,TRUE,NA
"l",1.18,-0.0974062536860538,2.25015398381005,2.94933544762916,3.18857807724447,6.50948797825715,TRUE,NA
"l",1.19,-0.0974062536860776,2.25013358508834,2.9490197769909,3.19377285625523,6.50948797825716,TRUE,NA
"l",1.2,-0.0974062536861007,2.2501138295033,2.94871515164838,3.19896016786509,6.50948797825716,TRUE,NA
"l",1.21,-0.0974062536861238,2.25009469581037,2.94842113223064,3.20414003998406,6.50948797825717,TRUE,NA
"l",1.22,-0.0974062536861462,2.25007616350135,2.94813730003886,3.20931250042477,6.50948797825717,TRUE,NA
"l",1.23,-0.0974062536861664,2.25005821277762,2.94786325586205,3.21447757689968,6.50948797825717,TRUE,NA
"l",1.24,-0.0974062536861875,2.25004082452432,2.94759861887554,3.2196352970185,6.50948797825718,TRUE,NA
"l",1.25,-0.097406253686207,2.25002398028552,2.94734302561549,3.22478568828586,6.50948797825718,TRUE,NA
"l",1.26,-0.0974062536862269,2.25000766224038,2.947096129023,3.22992877809913,6.50948797825719,TRUE,NA
"l",1.27,-0.097406253686246,2.24999185318015,2.94685759755209,3.2350645937463,6.50948797825719,TRUE,NA
"l",1.28,-0.0974062536862636,2.24997653648611,2.94662711433723,3.24019316240495,6.50948797825719,TRUE,NA
"l",1.29,-0.0974062536862808,2.2499616961083,2.94640437641373,3.24531451113934,6.5094879782572,TRUE,NA
"l",1.3,-0.0974062536862983,2.2499473165451,2.94618909398964,3.25042866689995,6.5094879782572,TRUE,NA
"l",1.31,-0.0974062536863151,2.24993338282355,2.94598098976298,3.25553565652182,6.5094879782572,TRUE,NA
