"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"l",1,-3.09150832728274,-2.42108638245959,-1.6106462028175,-1.60646687566864,8.00215970378504,TRUE,NA
"l",1.01,-2.50823876897496,-1.7136514295484,-0.802403639586311,0.210895689880974,4.79126172218903,TRUE,NA
"l",1.02,-2.51716925172269,-1.72524814287441,-0.815824564681666,0.210840043162132,4.83614104181818,TRUE,NA
"l",1.03,-2.52606916582663,-1.73678033269234,-0.829155194022729,0.210786849257923,4.88102543054007,TRUE,NA
"l",1.04,-2.53493880381682,-1.74824902481606,-0.842397233873385,0.210736018027823,4.92591473909623,TRUE,NA
"l",1.05,-2.54377845411752,-1.75965521871473,-0.855552338138534,0.210687464958107,4.97080882363253,TRUE,NA
"l",1.06,-2.55258840109689,-1.77099988842649,-0.868622110567013,0.210641110573174,5.01570754541436,TRUE,NA
"l",1.07,-2.56136892511908,-1.78228398343423,-0.881608106838941,0.210596879926257,5.06061077056566,TRUE,NA
"l",1.08,-2.57012030259842,-1.79350842950513,-0.894511836544472,0.210554702157661,5.10551836982858,TRUE,NA
"l",1.09,-2.57884280605497,-1.80467412949545,-0.907334765060501,0.210514510110458,5.15043021834149,TRUE,NA
"l",1.1,-2.58753670417127,-1.81578196412203,-0.920078315331524,0.210476239995277,5.19534619543352,TRUE,NA
"l",1.11,-2.59620226184969,-1.82683279270204,-0.932743869560322,0.210439831096989,5.24026618443344,TRUE,NA
"l",1.12,-2.60483974027038,-1.83782745386235,-0.945332770813899,0.210405225517314,5.28519007249183,TRUE,NA
"l",1.13,-2.61344939694934,-1.84876676621989,-0.957846324549662,0.210372367948238,5.33011775041485,TRUE,NA
"l",1.14,-2.62203148579658,-1.85965152903433,-0.970285800066517,0.210341205471919,5.37504911250862,TRUE,NA
"l",1.15,-2.63058625717411,-1.87048252283437,-0.982652431885287,0.210311687383422,5.41998405643329,TRUE,NA
"l",1.16,-2.63911395795364,-1.88126051001878,-0.994947421062527,0.210283765033157,5.46492248306571,TRUE,NA
"l",1.17,-2.64761483157392,-1.89198623543342,-1.00717193644156,0.210257391686371,5.50986429637021,TRUE,NA
"l",1.18,-2.65608911809759,-1.90266042692534,-1.01932711584434,0.210232522397428,5.55480940327645,TRUE,NA
"l",1.19,-2.66453705426742,-1.91328379587491,-1.0314140672074,0.210209113896937,5.59975771356412,TRUE,NA
"l",1.2,-2.67295887356198,-1.92385703770716,-1.0434338696652,0.210187124490082,5.64470913975371,TRUE,NA
"l",1.21,-2.68135480625055,-1.93438083238315,-1.05538757458354,0.210166513964733,5.68966359700294,TRUE,NA
