"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"u",0.01,-2.16296909081292,-2.11226537205162,-1.93573259217768,0.172995790225193,4.66343528781164,TRUE,NA
"u",0.02,-2.16660483666761,-2.09331075629488,-1.86767720538247,0.173340788005525,4.66417651827149,TRUE,NA
"u",0.03,-2.1702372036581,-2.07894175726654,-1.81776398839956,0.173691151292501,4.6649295201417,TRUE,NA
"u",0.04,-2.17386556394416,-2.06693020006694,-1.77683009071579,0.174045571136322,4.66569149010222,TRUE,NA
"u",0.05,-2.17748957122035,-2.05641482126502,-1.74148425499719,0.174403301834082,4.66646083277342,TRUE,NA
"u",0.06,-2.18110900248348,-2.04695484061657,-1.71003588319656,0.174763843999347,4.66723648071451,TRUE,NA
"u",0.07,-2.18472370207191,-2.03828898348197,-1.68150096114917,0.17512683265159,4.66801765439478,TRUE,NA
"u",0.08,-2.18833355592353,-2.03024740098239,-1.65524833069809,0.175491985814068,4.66880375198094,TRUE,NA
"u",0.09,-2.19193847781623,-2.02271239576765,-1.63084506382545,0.175859077078002,4.66959429053136,TRUE,NA
"u",0.1,-2.19553840124284,-2.0155984863963,-1.60797919395549,0.17622791942477,4.67038887133181,TRUE,NA
"u",0.11,-2.19913327425791,-2.00884130969563,-1.58641725079305,0.176598354978492,4.67118715794823,TRUE,NA
"u",0.12,-2.20272305602726,-2.00239099865486,-1.56597919236165,0.176970248155368,4.67198886155401,TRUE,NA
"u",0.13,-2.20630771441792,-1.99620801024716,-1.54652275602928,0.177343480882988,4.6727937307,TRUE,NA
"u",0.14,-2.20988722425579,-1.99026037919793,-1.52793323979655,0.177717949149221,4.67360154392894,TRUE,NA
"u",0.15,-2.21346156603002,-1.98452184399249,-1.51011657767829,0.178093560438659,4.67441210429205,TRUE,NA
"u",0.16,-2.21703072490653,-1.97897052883331,-1.49299449927108,0.178470231782698,4.67522523517955,TRUE,NA
"u",0.17,-2.22059468996153,-1.97358799244574,-1.4765010555877,0.178847888245982,4.67604077708533,TRUE,NA
"u",0.18,-2.22415345357573,-1.96835852622872,-1.46058006807796,0.179226461731669,4.67685858505236,TRUE,NA
"u",0.19,-2.22770701094766,-1.96326862628184,-1.44518321800479,0.179605890019318,4.67767852662499,TRUE,NA
"u",0.2,-2.23125535969871,-1.9583065894261,-1.43026859026129,0.179986115990733,4.67850048018392,TRUE,NA
"u",0.21,-2.23479849954732,-1.95346219940959,-1.41579954628117,0.180367086985318,4.67932433357869,TRUE,NA
"u",0.22,-2.23833643203847,-1.94872647986704,-1.40174383955678,0.180748754268192,4.68014998299051,TRUE,NA
"u",0.23,-2.24186916031653,-1.94409149747151,-1.38807291290766,0.181131072583044,4.68097733197818,TRUE,NA
"u",0.24,-2.24539668893299,-1.93955020336166,-1.37476133388098,0.181513999773625,4.6818062906711,TRUE,NA
"u",0.25,-2.24891902368252,-1.93509630413252,-1.36178633651155,0.181897496460904,4.68263677508104,TRUE,NA
"u",0.26,-2.25243617146214,-1.93072415592742,-1.34912744595409,0.182281525765687,4.68346870651092,TRUE,NA
"u",0.27,-2.25594814014949,-1.92642867677375,-1.33676616838942,0.182666053068791,4.68430201104389,TRUE,NA
"u",0.28,-2.25945493849713,-1.92220527346738,-1.32468573285605,0.18305104580242,4.685136619099,TRUE,NA
"u",0.29,-2.26295657604001,-1.91804978016336,-1.31287087476738,0.183436473267702,4.68597246504267,TRUE,NA
"u",0.3,-2.26645306301439,-1.91395840646404,-1.30130765317712,0.183822306474298,4.68680948684728,TRUE,NA
"u",0.31,-2.26994441028623,-1.90992769327161,-1.28998329558114,0.184208517998739,4.68764762578965,TRUE,NA
"u",0.32,-2.27343062928776,-1.90595447503376,-1.27888606535058,0.184595081858778,4.68848682618368,TRUE,NA
